Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-01-10,14:00:00,150.984,151.061,150.68,150.695,0,0
2018-01-10,15:00:00,150.692,150.965,150.626,150.923,0,0
2018-01-10,16:00:00,150.92,151.025,150.552,150.584,0,0
2018-01-10,17:00:00,150.576,150.872,150.539,150.7,0,0
2018-01-10,18:00:00,150.693,150.763,150.565,150.62,0,0
2018-01-10,19:00:00,150.617,150.72,150.612,150.695,0,0
2018-01-10,20:00:00,150.695,150.721,150.572,150.65,0,0
2018-01-10,21:00:00,150.662,150.708,150.415,150.429,0,0
2018-01-10,22:00:00,150.44,150.574,150.369,150.478,0,0
2018-01-10,23:00:00,150.486,150.555,150.473,150.517,0,0
2018-01-10,23:59:00,150.517,150.544,150.417,150.464,0,0
2018-01-11,01:00:00,150.467,150.605,150.43,150.6,0,0
2018-01-11,02:00:00,150.598,150.652,150.43,150.549,0,0
2018-01-11,03:00:00,150.555,150.838,150.555,150.809,0,0
2018-01-11,04:00:00,150.806,150.844,150.7,150.715,0,0
2018-01-11,05:00:00,150.714,150.865,150.685,150.83,0,0
2018-01-11,06:00:00,150.836,150.876,150.745,150.762,0,0
2018-01-11,07:00:00,150.765,150.961,150.709,150.944,0,0
2018-01-11,08:00:00,150.952,150.966,150.772,150.83,0,0
2018-01-11,09:00:00,150.823,150.926,150.681,150.733,0,0
2018-01-11,10:00:00,150.738,150.767,150.5,150.587,0,0
2018-01-11,11:00:00,150.579,150.634,150.496,150.552,0,0
2018-01-11,12:00:00,150.546,150.704,150.546,150.648,0,0
2018-01-11,13:00:00,150.638,150.731,150.239,150.268,0,0
2018-01-11,14:00:00,150.274,150.631,150.204,150.581,0,0
2018-01-11,15:00:00,150.597,150.86,150.444,150.854,0,0
2018-01-11,16:00:00,150.857,151.007,150.721,150.941,0,0
2018-01-11,17:00:00,150.944,151.005,150.755,150.788,0,0
2018-01-11,18:00:00,150.789,150.996,150.782,150.802,0,0
2018-01-11,19:00:00,150.805,150.838,150.698,150.817,0,0
2018-01-11,20:00:00,150.811,150.812,150.331,150.344,0,0
2018-01-11,21:00:00,150.345,150.41,150.272,150.398,0,0
2018-01-11,22:00:00,150.39,150.559,150.367,150.536,0,0
2018-01-11,23:00:00,150.537,150.679,150.514,150.634,0,0
2018-01-11,23:59:00,150.649,150.699,150.553,150.598,0,0
2018-01-12,01:00:00,150.602,150.766,150.592,150.691,0,0
2018-01-12,02:00:00,150.695,150.847,150.612,150.786,0,0
2018-01-12,03:00:00,150.788,150.844,150.701,150.819,0,0
2018-01-12,04:00:00,150.818,150.818,150.654,150.681,0,0
2018-01-12,05:00:00,150.686,150.787,150.654,150.744,0,0
2018-01-12,06:00:00,150.749,150.783,150.681,150.711,0,0
2018-01-12,07:00:00,150.717,150.73,150.61,150.665,0,0
2018-01-12,08:00:00,150.66,150.826,150.616,150.771,0,0
2018-01-12,09:00:00,150.765,150.947,150.72,150.855,0,0
2018-01-12,10:00:00,150.853,151.247,150.743,151.164,0,0
2018-01-12,11:00:00,151.167,151.297,151.112,151.243,0,0
2018-01-12,12:00:00,151.246,151.348,151.142,151.224,0,0
2018-01-12,13:00:00,151.218,151.583,151.212,151.577,0,0
2018-01-12,14:00:00,151.581,151.611,151.45,151.544,0,0
2018-01-12,15:00:00,151.541,152.663,151.536,152.462,0,0
2018-01-12,16:00:00,152.46,152.507,152.253,152.425,0,0
2018-01-12,17:00:00,152.42,152.42,152.174,152.362,0,0
2018-01-12,18:00:00,152.363,152.42,152.114,152.248,0,0
2018-01-12,19:00:00,152.256,152.361,152.18,152.302,0,0
2018-01-12,20:00:00,152.302,152.386,152.258,152.344,0,0
2018-01-12,21:00:00,152.342,152.54,152.22,152.539,0,0
2018-01-12,22:00:00,152.545,152.545,152.342,152.488,0,0
2018-01-12,23:00:00,152.467,152.496,152.467,152.491,0,0
2018-01-15,01:00:00,152.675,152.716,152.474,152.619,0,0
2018-01-15,02:00:00,152.625,152.659,152.157,152.259,0,0
2018-01-15,03:00:00,152.258,152.31,152.128,152.178,0,0
2018-01-15,04:00:00,152.168,152.203,152.04,152.069,0,0
2018-01-15,05:00:00,152.069,152.223,152.062,152.172,0,0
2018-01-15,06:00:00,152.174,152.174,152.059,152.118,0,0
2018-01-15,07:00:00,152.114,152.199,152.032,152.193,0,0
2018-01-15,08:00:00,152.193,152.428,152.149,152.343,0,0
2018-01-15,09:00:00,152.326,152.484,152.268,152.422,0,0
2018-01-15,10:00:00,152.422,152.445,151.936,152.038,0,0
2018-01-15,11:00:00,152.05,152.631,152.015,152.483,0,0
2018-01-15,12:00:00,152.477,152.805,152.387,152.655,0,0
2018-01-15,13:00:00,152.651,152.658,152.338,152.426,0,0
2018-01-15,14:00:00,152.429,152.625,152.359,152.563,0,0
2018-01-15,15:00:00,152.561,152.643,152.401,152.533,0,0
2018-01-15,16:00:00,152.539,152.724,152.486,152.722,0,0
2018-01-15,17:00:00,152.726,152.762,152.393,152.512,0,0
2018-01-15,18:00:00,152.523,152.666,152.506,152.59,0,0
2018-01-15,19:00:00,152.586,152.683,152.386,152.508,0,0
2018-01-15,20:00:00,152.511,152.561,152.282,152.364,0,0
2018-01-15,21:00:00,152.369,152.488,152.332,152.378,0,0
2018-01-15,22:00:00,152.379,152.476,152.347,152.462,0,0
2018-01-15,23:00:00,152.455,152.535,152.442,152.454,0,0
2018-01-15,23:59:00,152.454,152.53,152.412,152.528,0,0
2018-01-16,01:00:00,152.526,152.624,152.435,152.591,0,0
2018-01-16,02:00:00,152.591,152.941,152.577,152.912,0,0
2018-01-16,03:00:00,152.913,152.933,152.848,152.902,0,0
2018-01-16,04:00:00,152.903,153.104,152.865,153.053,0,0
2018-01-16,05:00:00,153.054,153.064,152.924,152.926,0,0
2018-01-16,06:00:00,152.924,153.01,152.863,152.885,0,0
2018-01-16,07:00:00,152.9,152.991,152.846,152.847,0,0
2018-01-16,08:00:00,152.86,152.926,152.8,152.868,0,0
2018-01-16,09:00:00,152.865,152.939,152.566,152.655,0,0
2018-01-16,10:00:00,152.655,152.77,152.359,152.437,0,0
2018-01-16,11:00:00,152.436,152.601,152.224,152.327,0,0
2018-01-16,12:00:00,152.34,152.407,152.14,152.225,0,0
2018-01-16,13:00:00,152.221,152.31,152.09,152.103,0,0
2018-01-16,14:00:00,152.115,152.388,152.055,152.38,0,0
